file_size,total_time_taken,average_time_taken
1,0.136127,0.136127
2,0.062095,0.0310475
3,0.03951,0.013170000000000001
4,0.032549,0.00813725
5,0.03154,0.006307999999999999
6,0.02856,0.0047599999999999995
7,0.029443,0.004206142857142857
8,0.04374,0.0054675
9,0.030514,0.003390444444444444
10,0.04475,0.004475
11,0.03152,0.0028654545454545456
12,0.029557,0.002463083333333333
13,0.029549,0.002273
14,0.028546,0.002039
15,0.028577,0.0019051333333333334
16,0.028491,0.0017806875
17,0.042713,0.002512529411764706
18,0.039695,0.002205277777777778
19,0.032538,0.0017125263157894736
20,0.042724,0.0021362
21,0.050849,0.002421380952380952
22,0.040704,0.001850181818181818
23,0.035811,0.001557
24,0.039769,0.0016570416666666667
25,0.03356,0.0013423999999999999
26,0.035555,0.0013675000000000002
27,0.030628,0.0011343703703703704
28,0.028768,0.0010274285714285713
29,0.054071,0.0018645172413793104
30,0.036517,0.0012172333333333334
31,0.030559,0.000985774193548387
32,0.060027,0.00187584375
33,0.060203,0.0018243333333333334
34,0.057747,0.0016984411764705883
35,0.058843,0.0016812285714285715
36,0.064912,0.001803111111111111
37,0.070209,0.0018975405405405404
38,0.059498,0.0015657368421052632
39,0.049046,0.0012575897435897435
40,0.070641,0.0017660249999999998
41,0.04715,0.00115
42,0.067025,0.0015958333333333334
43,0.053857,0.0012524883720930232
44,0.051831,0.0011779772727272728
45,0.044787,0.0009952666666666666
46,0.035471,0.0007711086956521739
47,0.045654,0.0009713617021276596
48,0.038573,0.0008036041666666668
49,0.037537,0.000766061224489796
50,0.031499,0.00062998
51,0.0356,0.0006980392156862745
52,0.030456,0.0005856923076923077
53,0.030514,0.0005757358490566037
54,0.030581,0.0005663148148148148
55,0.036698,0.0006672363636363636
56,0.03253,0.0005808928571428572
57,0.041667,0.0007310000000000001
58,0.030463,0.0005252241379310345
59,0.03156,0.0005349152542372881
60,0.030538,0.0005089666666666667
61,0.029576,0.00048485245901639344
62,0.029522,0.00047616129032258066
63,0.036569,0.0005804603174603175
64,0.026481,0.000413765625
65,0.051942,0.0007991076923076924
66,0.053901,0.0008166818181818182
67,0.035593,0.0005312388059701493
68,0.04465,0.0006566176470588236
69,0.048195,0.0006984782608695652
70,0.048802,0.0006971714285714286
71,0.042626,0.0006003661971830986
72,0.034563,0.0004800416666666667
73,0.038747,0.0005307808219178081
74,0.030595,0.00041344594594594595
75,0.032554,0.0004340533333333333
76,0.030536,0.00040178947368421056
77,0.031575,0.00041006493506493506
78,0.029548,0.0003788205128205128
79,0.030462,0.00038559493670886077
80,0.029504,0.00036879999999999997
81,0.036666,0.00045266666666666665
82,0.029542,0.0003602682926829268
83,0.031542,0.0003800240963855422
84,0.030578,0.0003640238095238095
85,0.031588,0.00037162352941176466
86,0.030469,0.0003542906976744186
87,0.04158,0.0004779310344827586
88,0.045787,0.0005203068181818182
89,0.035557,0.00039951685393258425
90,0.035649,0.0003961
91,0.048505,0.000533021978021978
92,0.042477,0.00046170652173913046
93,0.032369,0.00034805376344086025
94,0.030501,0.00032447872340425534
95,0.043474,0.00045762105263157896
96,0.034447,0.00035882291666666663
97,0.043734,0.0004508659793814433
98,0.039682,0.00040491836734693877
99,0.042554,0.00042983838383838386
100,0.035443,0.00035443000000000003
101,0.045302,0.00044853465346534656
102,0.038463,0.0003770882352941176
103,0.037123,0.00036041747572815536
104,0.042775,0.00041129807692307695
105,0.032474,0.0003092761904761905
106,0.037775,0.0003563679245283019
107,0.030639,0.00028634579439252336
108,0.03241,0.00030009259259259263
